"stem","sentiment"
"limit","-1"
"linger","-1"
"liquid","-1"
"litig","-1"
"lockout","-1"
"lose","-1"
"loss","-1"
"lost","-1"
"malfeas","-1"
"malfunct","-1"
"malic","-1"
"malici","-1"
"malpractic","-1"
"manipul","-1"
"markdown","-1"
"misappl","-1"
"misappli","-1"
"misappropri","-1"
"misbrand","-1"
"miscalcul","-1"
"mischief","-1"
"misclassif","-1"
"misclassifi","-1"
"misconduct","-1"
"misdat","-1"
"misdemeanor","-1"
"misdirect","-1"
"mishandl","-1"
"misinform","-1"
"misinterpret","-1"
"misjudg","-1"
"mislabel","-1"
"mislead","-1"
"misl","-1"
"mismanag","-1"
"mismatch","-1"
"misplac","-1"
"misrepres","-1"
"misrepresent","-1"
"miss","-1"
"misstat","-1"
"misstep","-1"
"mistak","-1"
"mistaken","-1"
"mistrial","-1"
"misunderstand","-1"
"misunderstood","-1"
"misus","-1"
"monopolist","-1"
"monopol","-1"
"monopoli","-1"
"moratoria","-1"
"moratorium","-1"
"mothbal","-1"
"negat","-1"
"neglect","-1"
"neglig","-1"
"nonattain","-1"
"noncompetit","-1"
"noncompli","-1"
"nonconform","-1"
"nondisclosur","-1"
"nonfunct","-1"
"nonpay","-1"
"nonperform","-1"
"nonproduc","-1"
"nonproduct","-1"
"nonrecover","-1"
"nonrenew","-1"
"nuisanc","-1"
"nullif","-1"
"nullifi","-1"
"object","-1"
"objection","-1"
"obscen","-1"
"obsolesc","-1"
"obsolet","-1"
"obstacl","-1"
"obstruct","-1"
"offenc","-1"
"offend","-1"
"omiss","-1"
"omit","-1"
"oner","-1"
"opportunist","-1"
"oppos","-1"
"opposit","-1"
"outag","-1"
"outdat","-1"
"outmod","-1"
"overag","-1"
"overbuild","-1"
"overbuilt","-1"
"overburden","-1"
"overcapac","-1"
"overcharg","-1"
"overcom","-1"
"overdu","-1"
"overestim","-1"
"overload","-1"
"overlook","-1"
"overpaid","-1"
"overpay","-1"
"overproduc","-1"
"overproduct","-1"
"overrun","-1"
"overshadow","-1"
"overst","-1"
"overstat","-1"
"oversuppli","-1"
"overt","-1"
"overturn","-1"
"overvalu","-1"
"panic","-1"
"penal","-1"
"penalti","-1"
"peril","-1"
"perjuri","-1"
"perpetr","-1"
"persist","-1"
"pervas","-1"
"petti","-1"
"picket","-1"
"plaintiff","-1"
"plea","-1"
"plead","-1"
"pled","-1"
"poor","-1"
"pose","-1"
"postpon","-1"
"precipit","-1"
"preclud","-1"
"predatori","-1"
"prejudic","-1"
"prejud","-1"
"prejudici","-1"
"prematur","-1"
"press","-1"
"pretrial","-1"
"prevent","-1"
"problem","-1"
"problemat","-1"
"prolong","-1"
"prone","-1"
"prosecut","-1"
"protest","-1"
"protestor","-1"
"protract","-1"
"provok","-1"
"punish","-1"
"punit","-1"
"purport","-1"
"question","-1"
"quit","-1"
"racket","-1"
"ration","-1"
"reassess","-1"
"reassign","-1"
"recal","-1"
"recess","-1"
"recessionari","-1"
"reckless","-1"
"redact","-1"
"redefault","-1"
"redress","-1"
"refus","-1"
"reject","-1"
"relinquish","-1"
"reluct","-1"
"renegoti","-1"
"renounc","-1"
"repar","-1"
"repossess","-1"
"repudi","-1"
"resign","-1"
"restat","-1"
"restructur","-1"
"retali","-1"
"retaliatori","-1"
"retribut","-1"
"revoc","-1"
"revok","-1"
"ridicul","-1"
"riskier","-1"
"riskiest","-1"
"riski","-1"
"sabotag","-1"
"sacrific","-1"
"sacrif","-1"
"sacrifici","-1"
"scandal","-1"
"scrutin","-1"
"scrutini","-1"
"secreci","-1"
"seiz","-1"
"sentenc","-1"
"serious","-1"
"setback","-1"
"sever","-1"
"sharpli","-1"
"shock","-1"
"shortag","-1"
"shortfal","-1"
"shrinkag","-1"
"shut","-1"
"shutdown","-1"
"slander","-1"
"slippag","-1"
"slow","-1"
"slowdown","-1"
"slower","-1"
"slowest","-1"
"slowli","-1"
"sluggish","-1"
"solvenc","-1"
"stagger","-1"
"stagnant","-1"
"stagnat","-1"
"standstil","-1"
"stolen","-1"
"stoppag","-1"
"stop","-1"
"strain","-1"
"stress","-1"
"stringent","-1"
"subject","-1"
"subpoena","-1"
"substandard","-1"
"sue","-1"
"su","-1"
"suffer","-1"
"summon","-1"
"summons","-1"
"suscept","-1"
"suspect","-1"
"suspend","-1"
"suspens","-1"
"suspicion","-1"
"suspici","-1"
"taint","-1"
"tamper","-1"
"tens","-1"
"termin","-1"
"testifi","-1"
"threat","-1"
"threaten","-1"
"tighten","-1"
"toler","-1"
"tortuous","-1"
"tragedi","-1"
"tragic","-1"
"traumat","-1"
"troubl","-1"
"turbul","-1"
"turmoil","-1"
"unabl","-1"
"unaccept","-1"
"unaccount","-1"
"unannounc","-1"
"unanticip","-1"
"unapprov","-1"
"unattract","-1"
"unauthor","-1"
"unavail","-1"
"unavoid","-1"
"unawar","-1"
"uncollect","-1"
"uncompetit","-1"
"uncomplet","-1"
"unconscion","-1"
"uncontrol","-1"
"uncorrect","-1"
"uncov","-1"
"undeliver","-1"
"undeliv","-1"
"undercapit","-1"
"undercut","-1"
"underestim","-1"
"underfund","-1"
"underinsur","-1"
"undermin","-1"
"underpaid","-1"
"underpay","-1"
"underperform","-1"
"underproduc","-1"
"underproduct","-1"
"underreport","-1"
"underst","-1"
"understat","-1"
"underutil","-1"
"undesir","-1"
"undetect","-1"
"undetermin","-1"
"undisclos","-1"
"undocu","-1"
"undu","-1"
"unduli","-1"
"uneconom","-1"
"unemploy","-1"
"uneth","-1"
"unexcus","-1"
"unexpect","-1"
"unfair","-1"
"unfavor","-1"
"unfavour","-1"
"unfeas","-1"
"unfit","-1"
"unforese","-1"
"unforeseen","-1"
"unforseen","-1"
"unfortun","-1"
"unfound","-1"
"unfriend","-1"
"unfulfil","-1"
"unfund","-1"
"uninsur","-1"
"unintend","-1"
"unintent","-1"
"unjust","-1"
"unjustifi","-1"
"unknow","-1"
"unlaw","-1"
"unlicens","-1"
"unliquid","-1"
"unmarket","-1"
"unmerchant","-1"
"unnecessarili","-1"
"unnecessari","-1"
"unneed","-1"
"unobtain","-1"
"unoccupi","-1"
"unpaid","-1"
"unperform","-1"
"unplan","-1"
"unpopular","-1"
"unpredict","-1"
"unproduct","-1"
"unprofit","-1"
"unqualifi","-1"
"unrealist","-1"
"unreason","-1"
"unrecover","-1"
"unrecov","-1"
"unreimburs","-1"
"unreli","-1"
"unremedi","-1"
"unreport","-1"
"unresolv","-1"
"unrest","-1"
"unsaf","-1"
"unsal","-1"
"unsatisfactori","-1"
"unsatisfi","-1"
"unsavori","-1"
"unschedul","-1"
"unsold","-1"
"unsound","-1"
"unstabl","-1"
"unsubstanti","-1"
"unsuccess","-1"
"unsuit","-1"
"unsur","-1"
"unsuspect","-1"
"unsustain","-1"
"unten","-1"
"untim","-1"
"untruth","-1"
"unus","-1"
"unwant","-1"
"unwarr","-1"
"unwelcom","-1"
"unwil","-1"
"unwilling","-1"
"upset","-1"
"urgenc","-1"
"urgent","-1"
"usuri","-1"
"usurp","-1"
"vandal","-1"
"verdict","-1"
"veto","-1"
"victim","-1"
"violat","-1"
"violenc","-1"
"violent","-1"
"vitiat","-1"
"void","-1"
"volatil","-1"
"vulner","-1"
"warn","-1"
"wast","-1"
"weak","-1"
"weaken","-1"
"weaker","-1"
"weakest","-1"
"will","-1"
"worri","-1"
"wors","-1"
"worsen","-1"
"worst","-1"
"worthless","-1"
"writedown","-1"
"writeoff","-1"
"wrong","-1"
"wrongdo","-1"
